control_1	control_2	control_3	heat_1	heat_2	heat_3
YBL043W	7.92757388321205	7.30461966599634	7.25730912621919	8.58280639009265	8.29360270227933	9.10991201828098
YBL044W	3.449782614994	3.35736632162142	3.23302418539483	2.81052982533059	3.02300956871575	3.13766345852567
YBL045C	12.0944659359619	12.4656122058492	11.9587844448547	12.1855063146483	12.2556340925474	12.079639023143
YBL046W	9.53043908202732	9.39017041276204	9.68873582791227	9.21695681353336	9.09113040038617	9.3626184624433
YBL047C	12.5134966787862	12.6705998019723	12.4608059743734	13.0365312396467	13.1355317056474	13.0515457045274
YBL049W	5.22518555018832	5.16008966655582	4.54353477347262	7.84020206162675	7.64339481089095	7.07777514737597
YBL050W	11.0101667978486	10.9036666141134	10.9448903573284	11.6175200136061	11.4810498716123	11.4732259545125
YBL051C	11.504719852937	11.372632542965	11.213658504204	11.5228627932451	11.5244918392429	11.4542242819375
YBL052C	10.2810736545339	10.2697279445139	10.3872996439519	9.39287022993837	9.37568887592755	9.6893066075714
YBL054W	9.90733947974543	9.52600915960171	9.54808028662593	9.60931064534873	9.95177785981852	9.52495049503384
YBL055C	10.0388768019011	9.78713379011394	9.80476499110898	9.87240552415939	10.0160422321475	9.73072071961428
YBL056W	12.2296598737361	12.2314698595387	12.1347933846257	12.3894223176993	12.4074970171884	12.2659415701116
YBL057C	10.1790402426179	10.11157032396	10.1846464049285	10.154693169534	9.97267136599185	10.0190317296787
YBL058W	12.1314688765836	12.0236633647598	12.0798757264224	12.8724204476484	12.8507541283265	12.8411004886868
YBL059C-A	7.78999675186527	7.75930474578497	7.71743567256546	8.3933935106693	8.22672615830706	8.49970937230971
YBL059W	7.11525931736256	6.73472135221212	6.92833853114823	7.41214609679649	7.30478576099115	7.41028441929052
YBL060W	9.36411129137336	9.18474624465727	9.31126177239701	10.0232107420417	10.007010181853	9.9130332316026
YBL061C	10.6343892708674	10.6598840522525	10.7146492186407	11.4240810998617	11.4003134039863	11.231986537008
YBL063W	9.3710043652923	9.5173455396306	9.35576840774312	9.48430097288815	9.4231530888966	9.58659319789735
YBL064C	10.4438971557751	10.5375043438207	10.4636180666776	13.023930485093	12.7442686874416	12.4787902228794
YBL065W	2.41504851872515	2.28681591311092	2.19905296438826	2.82716332339165	2.78529020569641	2.65047158101924
