baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDL114W	23.6339442976165	2.24190983480278	0.441658047655745	5.07612132667457	3.85217370165463e-07	1.17671552085244e-06
YDL119C	615.754059251314	1.38151557906473	0.136798891480908	10.0988799259206	5.58767243384211e-24	6.11381861405323e-23
YDL121C	670.537485231242	-1.81228556340032	0.128976602974838	-14.0512738093581	7.56607664928938e-45	2.57069621826733e-43
YDL124W	13604.4087358526	1.98650254442468	0.177937558123409	11.1640429675164	6.11461631975538e-29	8.75022680240856e-28
YDL126C	25335.0743797096	1.01121126619073	0.0948836703647906	10.6573793183065	1.61072281421481e-26	2.0349965459613e-25
YDL129W	180.939320091084	-1.08131060340064	0.168136139620756	-6.43116111645965	1.26632843942242e-10	5.49467381108607e-10
YDL130W	10593.6463668249	-4.03960261110641	0.255687453911431	-15.7989864160707	3.16159059132811e-56	1.97514422963617e-54
YDL130W-A	1570.08492473356	3.08686184720215	0.212194029722474	14.5473548489532	6.07053424724496e-48	2.50140453733994e-46
YDL133C-A	16.9258775811792	-2.08180194188287	0.542032505738218	-3.84073264950702	0.000122667654063616	0.000279599478269756
YDL136W	4145.84245491279	-2.99497579858682	0.46876546486589	-6.3890709172521	1.66896650504427e-10	7.16681108226699e-10
YDL147W	6162.30611843683	1.06127049848162	0.129007237709688	8.22644153400029	1.92857151076283e-16	1.37316182322697e-15
YDL148C	1124.86126876639	-1.3014482526867	0.228191681769887	-5.70331154313987	1.17501936919658e-08	4.22454364791591e-08
YDL149W	937.155779114569	1.20123334138616	0.123020875317597	9.7644675205325	1.59950017169911e-22	1.62751243390049e-21
YDL153C	1215.9256508211	-1.35691367983291	0.234930660016846	-5.77580499597459	7.65860323910364e-09	2.80734919994903e-08
YDL154W	396.808052658165	-1.15687348371769	0.173950691147927	-6.65058285243539	2.91934606592192e-11	1.334492576161e-10
YDL157C	731.801056323668	-1.12632856217646	0.116782382411433	-9.64467875135757	5.17730436677531e-22	5.07253598161291e-21
YDL169C	317.972679888565	2.88692254185623	0.227581378961819	12.6852317840141	7.14023130971635e-37	1.57139181475197e-35
YDL171C	5439.36944712252	-1.48450543948513	0.09997346581199	-14.8489944549576	7.06199786155361e-50	3.20548496684582e-48
YDL181W	537.045369993128	1.22294087198877	0.234197974404943	5.22182514642175	1.77168218194045e-07	5.62792426302571e-07
YDL184C	76.0989519056095	-2.70170142221887	0.358494673768086	-7.5362386665935	4.8372092018628e-14	2.8884054946375e-13
YDL191W	8060.61175709588	-2.86100574362375	0.274592193612256	-10.4191080816511	2.02846496028278e-25	2.3808851352006e-24
YDL201W	904.653435578062	-1.2265119214848	0.154131008641646	-7.95759355819457	1.75417473330423e-15	1.15947158139904e-14
YDL204W	5866.86957389997	4.5498084475585	0.234060835434735	19.4385721947368	3.64160097613057e-84	5.87713935314406e-82
YDL208W	1641.63269261003	-1.64470289787154	0.175174449943164	-9.38894284186519	6.06054711952472e-21	5.58031359182862e-20
YDL212W	3250.8074663808	-1.18379208792316	0.102959256703352	-11.4976751564352	1.35516480197436e-30	2.07197565775554e-29
YDL213C	624.249448551364	-1.74008803103727	0.231301763314712	-7.52302103581324	5.35248077968733e-14	3.17974573926211e-13
YDL222C	6840.4091803029	6.39538886461178	0.249625225452685	25.6199622975363	9.14240518821395e-145	7.58819630621758e-142
YDL223C	3800.74094083116	3.5372530971589	0.143508105548695	24.6484551073572	3.82320106605463e-134	2.77659977422218e-131
YDL227C	709.45306764357	-3.95010484709874	0.173314398255511	-22.7915561941671	5.56040765296427e-115	2.15373123091483e-112
YDL228C	27.9585596128455	-2.17921839735143	0.498970591002574	-4.36742853516227	1.25717911833657e-05	3.25499584560405e-05
YDL229W	44574.9311118693	-2.94219112437977	0.204296493103555	-14.401574298627	5.05781542085767e-47	1.99904133300565e-45
